county,state,clinton,trump
Crawford,IN,"1,323","3,015"
Daviess,IN,"1,800","8,545"
Dearborn,IN,"4,883","18,113"
Decatur,IN,"2,121","8,490"
DeKalb,IN,"3,942","12,054"
Delaware,IN,"18,153","24,263"
Dubois,IN,"5,389","13,365"
Elkhart,IN,"20,740","41,867"
Fayette,IN,"2,252","6,839"
Floyd,IN,"13,945","21,432"
Fountain,IN,"1,476","5,662"
Franklin,IN,"1,969","8,669"
Fulton,IN,"1,960","6,010"
Gibson,IN,"3,721","11,081"
Grant,IN,"7,010","17,008"
Greene,IN,"2,929","10,277"
Hamilton,IN,"57,263","87,404"
Hancock,IN,"8,904","25,074"
Harrison,IN,"4,783","12,943"
Hendricks,IN,"22,600","48,337"
Henry,IN,"5,124","13,895"
Howard,IN,"11,215","23,675"
Huntington,IN,"3,506","11,649"
Jackson,IN,"3,843","12,859"
Jasper,IN,"3,329","9,382"
Jay,IN,"1,889","5,697"
Jefferson,IN,"4,326","8,546"
Jennings,IN,"2,364","8,224"
Johnson,IN,"17,318","45,456"
Knox,IN,"3,772","11,077"
Kosciusko,IN,"6,313","23,935"
LaGrange,IN,"2,080","7,025"
Lake,IN,"116,935","75,625"
LaPorte,IN,"19,798","22,687"
Lawrence,IN,"4,210","14,035"
Madison,IN,"18,595","32,376"
Marion,IN,"212,899","130,360"
Marshall,IN,"4,798","12,288"
Martin,IN,881,"3,697"
Miami,IN,"2,766","9,975"
Monroe,IN,"34,216","20,592"
Montgomery,IN,"3,362","11,059"
Morgan,IN,"6,040","23,674"
Newton,IN,"1,404","4,077"
Noble,IN,"3,904","12,198"
Ohio,IN,686,"2,118"
Orange,IN,"2,048","5,803"
Owen,IN,"1,946","6,153"
Parke,IN,"1,441","4,863"
Perry,IN,"3,062","4,556"
Pike,IN,"1,297","4,398"
